,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,LLY,Eli Lilly and Company,716.59B,-0.86%,2342824,34.12B
1,NVO,Novo Nordisk A/S,590.69B,-1.64%,3631961,34.41B
2,UNH,UnitedHealth Group Incorporated,452.50B,0.37%,3481999,371.62B
3,JNJ,Johnson & Johnson,381.18B,-0.65%,7323629,85.16B
4,ABBV,AbbVie Inc.,314.22B,-1.83%,6196064,54.32B
5,MRK,"Merck & Co., Inc.",307.77B,0.84%,12718652,60.12B
6,TMO,Thermo Fisher Scientific Inc.,222.74B,-0.13%,1910581,42.86B
7,AZN,AstraZeneca PLC,206.42B,-1.09%,6027068,45.81B
8,ABT,Abbott Laboratories,200.40B,-2.83%,12685176,40.11B
9,NVS,Novartis AG,198.82B,-0.88%,1381503,46.66B
10,DHR,Danaher Corporation,184.48B,-1.51%,5703208,23.89B
11,PFE,Pfizer Inc.,158.21B,-0.68%,31375069,58.50B
12,AMGN,Amgen Inc.,144.09B,-0.98%,8761928,28.19B
13,ISRG,"Intuitive Surgical, Inc.",140.46B,3.11%,3889390,7.12B
14,SYK,Stryker Corporation,133.94B,-0.96%,2054130,20.50B
15,SNY,Sanofi,120.68B,0.42%,1265364,51.60B
16,ELV,Elevance Health Inc.,119.38B,0.49%,827890,171.34B
17,MDT,Medtronic plc,110.97B,-0.97%,8518723,32.32B
18,REGN,"Regeneron Pharmaceuticals, Inc.",105.86B,0.57%,1071151,13.12B
19,BMY,Bristol-Myers Squibb Company,105.84B,-0.29%,19286574,45.01B
20,VRTX,Vertex Pharmaceuticals Incorporated,105.31B,-0.26%,1894452,9.87B
21,CI,Cigna Corporation,102.92B,0.73%,1280054,195.27B
22,CVS,CVS Health Corporation,97.40B,1.28%,8037424,357.78B
23,BSX,Boston Scientific Corporation,97.17B,-0.94%,5942570,14.24B
24,GILD,"Gilead Sciences, Inc.",91.80B,-0.70%,13896205,27.12B
25,GSK,GSK plc,87.68B,-2.07%,3751683,38.39B
26,HCA,"HCA Healthcare, Inc.",85.16B,-0.87%,786552,64.97B
27,ZTS,Zoetis Inc.,79.01B,-0.75%,2209889,8.54B
28,MCK,McKesson Corporation,70.12B,0.81%,591897,301.51B
29,BDX,"Becton, Dickinson and Company",68.39B,-0.19%,1756746,19.49B
30,EW,Edwards Lifesciences Corporation,55.51B,-1.12%,3900358,6.00B
31,DXCM,"DexCom, Inc.",50.29B,0.74%,3953488,3.62B
32,IQV,IQVIA Holdings Inc.,46.00B,-0.61%,666234,14.98B
33,TAK,Takeda Pharmaceutical Company Limited,45.51B,0.91%,2316545,29.40B
34,IDXX,"IDEXX Laboratories, Inc.",44.02B,-1.08%,750769,3.66B
35,A,"Agilent Technologies, Inc.",43.22B,1.56%,1865247,6.74B
36,ALC,Alcon Inc.,42.12B,-1.09%,919358,9.46B
37,HUM,Humana Inc.,41.97B,-0.21%,1166163,106.37B
38,GEHC,GE HealthCare Technologies Inc.,40.71B,1.22%,6520480,19.55B
39,CNC,Centene Corporation,40.37B,-0.76%,3085175,154.00B
40,MRNA,"Moderna, Inc.",39.68B,0.38%,5433508,6.85B
41,COR,Cencora,38.52B,0.23%,926670,271.58B
42,HLN,Haleon plc,38.41B,0.97%,4420076,14.31B
43,VEEV,Veeva Systems Inc.,36.55B,-2.36%,1016412,2.36B
44,BIIB,Biogen Inc.,31.88B,-0.14%,2402070,9.84B
45,MTD,Mettler-Toledo International Inc.,28.45B,2.03%,161502,3.79B
46,WST,"West Pharmaceutical Services, Inc.",28.38B,-2.95%,755406,2.95B
47,RMD,ResMed Inc.,27.95B,-0.89%,896475,4.50B
48,ICLR,ICON PLC,27.62B,0.32%,385774,8.12B
49,CAH,"Cardinal Health, Inc.",26.90B,0.62%,4407648,216.15B
50,ZBH,"Zimmer Biomet Holdings, Inc.",25.67B,-0.45%,1502271,7.39B
51,MOH,"Molina Healthcare, Inc.",23.62B,-0.55%,263136,34.07B
52,ALGN,"Align Technology, Inc.",23.61B,-0.81%,697946,3.86B
53,STE,STERIS plc,22.73B,-0.65%,317069,5.41B
54,ARGX,argenx SE,22.59B,-1.95%,268396,39.48M
55,BNTX,BioNTech SE,21.98B,-0.46%,634928,7.04B
56,BAX,Baxter International Inc.,21.13B,-0.98%,2630426,14.81B
57,WAT,Waters Corporation,20.89B,2.72%,795370,2.96B
58,ILMN,"Illumina, Inc.",20.30B,-0.29%,2241402,4.50B
59,COO,"The Cooper Companies, Inc.",20.02B,-0.78%,1135817,3.67B
60,PHG,Koninklijke Philips N.V.,19.68B,-1.82%,674731,20.19B
61,GMAB,Genmab A/S,19.54B,-1.19%,996901,2.44B
62,ALNY,"Alnylam Pharmaceuticals, Inc.",18.80B,0.50%,767746,1.83B
63,BGNE,"BeiGene, Ltd.",18.71B,0.65%,342860,2.46B
64,RPRX,Royalty Pharma plc,17.98B,0.80%,3106928,2.35B
65,WBA,"Walgreens Boots Alliance, Inc.",17.95B,0.97%,15843391,142.41B
66,HOLX,"Hologic, Inc.",17.82B,0.76%,4047398,3.97B
67,LH,Laboratory Corporation of America Holdings,17.59B,0.10%,982653,12.16B
68,BMRN,BioMarin Pharmaceutical Inc.,15.82B,-0.62%,1071352,2.42B
69,TEVA,Teva Pharmaceutical Industries Limited,15.17B,-0.52%,6235116,15.85B
70,DGX,Quest Diagnostics Incorporated,14.20B,0.91%,948490,9.25B
71,VTRS,Viatris Inc.,14.18B,1.02%,14375680,15.43B
72,NBIX,"Neurocrine Biosciences, Inc.",13.84B,-0.04%,1489824,1.89B
73,CRL,"Charles River Laboratories International, Inc.",13.30B,-0.59%,426761,4.13B
74,INCY,Incyte Corporation,13.11B,-0.29%,3589431,3.70B
75,RVTY,"Revvity, Inc.",12.96B,0.02%,1080822,2.75B
76,BRKR,Bruker Corporation,12.68B,0.29%,1141027,2.96B
77,RDY,Dr. Reddy's Laboratories Limited,12.62B,-0.28%,138458,2.99B
78,KRTX,"Karuna Therapeutics, Inc.",12.60B,0.03%,1808160,654.00K
79,MEDP,"Medpace Holdings, Inc.",12.20B,-1.94%,389367,1.89B
80,SNN,Smith & Nephew plc,12.13B,-1.71%,641488,5.55B
81,DVA,DaVita Inc.,11.93B,0.48%,896575,12.14B
82,UHS,"Universal Health Services, Inc.",11.69B,0.56%,753224,14.28B
83,LEGN,Legend Biotech Corporation,11.67B,-3.16%,2508291,285.14M
84,FMS,Fresenius Medical Care AG & Co. KGaA,11.60B,-3.01%,655898,21.62B
